id	w	p	l	c1	c2	pred
4970	play	V	T	Play cards .	Who 's playing now ?	T
4971	beat	V	F	Beat the subway fare .	Beat a path through the forest .	F
4972	keep	V	T	Keep count .	The pianist kept time with the metronome .	F
4973	classify	V	T	Should we classify " make up " as an idiom or as a phrasal verb ?	How would you classify these pottery shards -- are they prehistoric ?	F
4974	pull	V	F	Pull a bank robbery .	Pull a chicken .	F
4975	buy	V	F	I 'm going to buy my father something nice for his birthday .	This sum will buy you a ride on the train .	T
4976	nick	N	T	He 's just been released from Shadwell nick prison after doing ten years for attempted murder .	He 's in the nick .	T
4977	dwelling	N	T	The old house served as a dwelling for Albert .	Philip 's dwelling fronted on the street . - Alfred Tennyson .	T
4978	par	N	T	Par for this course is 72 .	He needs to make this shot for par .	T
4979	charge	V	T	How much do you charge for lunch ?	This fellow charges $ 100 for a massage .	T
4980	stretch	V	F	I always stretch my muscles before exercising .	His mustache stretched all the way to his sideburns .	F
4981	area	N	T	It was about 500 square feet in area .	The area of a rectangle .	T
4982	neighborhood	N	F	The price is in the neighborhood of $ 100 .	He always blames someone else in the immediate neighborhood .	F
4983	drag	V	F	Do n't drag me into this business .	Drag this icon to the lower right hand corner of the screen .	F
4984	commercialization	N	T	The government tried to accelerate the commercialization of this development .	My father considered the commercialization of Christmas to be a sacrilege .	F
4985	field	N	F	There are several species of wild flowers growing in this field .	This racehorse is the strongest in a weak field .	F
4986	back	N	T	He wrote the date on the back of the photograph .	I hung the clothes on the back of the door .	T
4987	piece	N	F	The children acted out a comic piece to amuse the guests .	An important piece of the evidence .	F
4988	teach	V	T	Can you teach me to sew ?	Can you teach sewing to me ?	T
4989	form	N	T	He was at the top of his form .	The team was off form last night .	T
4990	think	V	T	She did n't think to harm me .	We thought to return early that night .	F
4991	post	N	T	He occupied a post in the treasury .	Sent via post .	F
4992	see	V	T	I can see what will happen .	I ca n't see him on horseback !	T
4993	bit	N	F	In just a bit .	There are 8 bits in a byte .	F
4994	stay	V	F	To stay a flat sheet in a steam boiler .	I had to stay at home and watch the children .	F
4995	face	N	F	They climbed the north face of the mountain .	Why the sad face ?	F
4996	death	N	F	The death of my grandmother saddened the whole family .	She stayed until his death .	T
4997	space	N	F	They tested his ability to locate objects in space .	Write your name in the space provided .	F
4998	empathize	V	T	You really have to empathize with their doing it .	You really have to empathize with them .	T
4999	serve	V	T	This table would serve very well .	They serve a restricted role on the bench .	F
5000	follow	V	F	Can you follow her argument ?	She followed the men with the binoculars .	F
5001	orbit	N	F	The Moon 's orbit around the Earth takes nearly one month to complete .	In the political orbit of a world power .	F
5002	do	V	F	Do research .	This car does 150 miles per hour .	F
5003	stretch	V	F	Stretch out that piece of cloth .	The rubber band stretched almost to the breaking point .	T
5004	pay	V	F	Pay up , please !	It pays to go through the trouble .	T
5005	course	N	F	The course of the river .	He took a course in basket weaving .	F
5006	go	V	T	His knowledge does n't go very far .	This property goes all the way to the state line .	F
5007	tail	N	F	After the burly macho nudists ' polar bear dip , their tails were spectacularly shrunk , so they looked like an immature kid 's innocent tail .	Most primates have a tail and fangs .	F
5008	fire	N	F	They sat by the fire and talked .	He went through fire and damnation .	F
5009	protection	N	F	He made trade protection a plank in the party platform .	Insurance provided protection against loss of wages due to illness .	T
5010	strike	V	F	Strike a match .	The teacher struck the child .	F
5011	time	N	T	It took more than half my time .	I did n't have time to finish .	T
5012	develop	V	F	Develop a market for the new mobile phone .	Please develop this roll of film .	F
5013	extend	V	F	Extend the casserole with a little rice .	Can we extend the legs of this dining table ?	T
5014	word	N	T	He did n't say a word about it .	Can I have a word with you ?	T
5015	bed	N	T	He searched for treasure on the ocean bed .	There 's a lot of trash on the bed of the river .	F
5016	breakfast	V	T	We breakfast at seven .	Cynthia breakfasted on peaches .	T
5017	seat	N	T	The seat of these trousers is almost worn through .	The seat of his pants was worn through .	T
5018	authority	N	F	Authority for the program was renewed several times .	He is an authority on corporate law .	F
5019	echo	N	T	Napoleon III was an echo of the mighty Emperor but an infinitely better man .	His contention contains more than an echo of Rousseau .	T
5020	play	V	T	Play sports .	We played hockey all afternoon .	T
5021	heart	N	T	The heart and soul of the Republican Party .	The heart and soul of any democracy is its electorate .	F
5022	finish	N	F	His best finish in a major tournament was third .	Excitement grew as the finish neared .	T
5023	sense	N	T	A sense of self .	A sense of security .	F
5024	bake	V	T	Bake the potatoes .	She 's been baking all day to prepare for the dinner .	T
5025	blow	V	F	To blow a horse .	Blow now !	F
5026	toy	V	T	To toy with a piece of food on one 's plate .	Toy with an idea .	T
5027	drink	N	F	Can I buy you a drink ?	He took a drink of his beer and smacked his lips .	T
5028	shade	V	T	Shade the meaning .	The hillside was bright green , shading towards gold in the drier areas .	T
5029	game	N	F	I saw through his little game from the start .	You need four people to play this game .	F
5030	field	N	F	A crop circle was made in a corn field .	They are outstanding in their field .	F
5031	firewood	N	T	After many days of hard work , we finally had enough firewood for the winter .	They collected and cut their own firewood .	T
5032	serve	V	F	They serve a restricted role on the bench .	She served in Congress for two terms .	F
5033	border	N	F	A solid border around a table of figures .	The border between Canada and USA is the longest in the world .	F
5034	bounce	V	F	The ex-boxer 's job is to bounce people who want to enter this private club .	The rubber ball bounced .	F
5035	wall	N	T	Negotiations ran into a brick wall .	A wall of smoke .	T
5036	make	V	T	Do n't make this into a big deal .	Make yourself clear .	F
5037	touch	V	F	Do n't touch my CDs !	Stefan was touched by the song 's message of hope .	F
5038	connect	V	T	The new railroad will connect the northern part of the state to the southern part .	Can you connect the two loudspeakers ?	T
5039	taste	N	T	The melon had a delicious taste .	The candy left him with a bad taste .	T
5040	opinion	N	F	He asked for a poll of public opinion .	His opinions appeared frequently on the editorial page .	T
5041	have	V	F	Look what I have here — a frog I found on the street !	He had a cold last week .	F
5042	trim	V	F	Trim an airplane .	Trim the photograph .	F
5043	leak	N	T	A leak in a gas pipe .	A leak in a boat .	T
5044	use	V	T	We can use this mathematical formula to solve the problem .	Use this knife to slice the bread .	T
5045	submission	N	T	His submission to the will of God .	The union was brought into submission .	F
5046	past	N	T	A book about a time machine that can transport people back into the past .	Forget the past .	F
5047	thing	N	F	A thing of the spirit .	A funny thing happened on the way to the ...	T
5048	stay	V	F	Stay alone .	Stay put in the corner here !	T
5049	time	N	T	The judge leniently granted a sentence with no hard time .	He is not living at home because he is doing time .	F
5050	baby	N	F	When is your baby due ?	The baby of the Supreme Court .	F
5051	join	V	T	Many children join a sports club .	Most politicians have joined a party .	T
5052	mouth	N	F	They built a fire at the mouth of the cave .	He stuffed his mouth with candy .	F
5053	time	N	T	Okay , but this is the last time . No more after that !	He called four times .	F
5054	call	V	T	The mayor likes to call on some of the prominent citizens .	The engineer called round whilst you were away .	T
5055	picture	N	F	The author gives a depressing picture of life in Poland .	He had no clear picture of himself or his world .	T
5056	roll	V	F	I want to get there early ; let 's roll .	The water rolled .	F
5057	floor	N	T	The room has a wooden floor .	They needed rugs to cover the bare floors .	T
5058	formation	N	T	The formation of memories .	The formation of sentences .	F
5059	avoid	V	T	Her former friends now avoid her .	He avoided his nagging .	T
5060	top	N	F	The title should be written at the top of the first page .	He got a bright red top and string for his birthday .	F
5061	communicate	V	T	I feel I hardly know him ; I just wish he 'd communicate with me a little more .	He and his sons have n't communicated for years .	T
5062	run	V	T	Do n't run that software unless you have permission . ' .	They ran twenty blood tests on me and they still do n't know what 's wrong .	F
5063	skinful	N	T	I was n't thinking straight – I 'd had a skinful that night .	Someone had to drive me home last night because I had a skinful .	T
5064	cuddle	V	T	I 'm cold ; can you roll over here and cuddle me , honey ?	I cuddled the baby .	T
5065	move	V	F	Come on guys , let 's move : there 's work to do !	The horse moves a carriage .	T
5066	sound	N	F	The sound awakened them .	Owen Sound .	F
5067	influence	N	F	Used her parents ' influence to get the job .	She was the most important influence in my life .	F
5068	catch	V	T	Catch fire .	The bucket catches water from the downspout .	F
